block,stability
7,0.7875
8,0.2312
9,0.7404
10,0.7506
11,0.4524
12,0.4089
13,0.3547
14,0.4171
15,0.4574
16,0.05
17,0.0
18,0
19,0
222,0.0
223,0.4211
224,0.3038
225,0.4752
226,0.2515
227,0.0
228,0.4077
229,0.4
230,0.0
231,0.2692
232,0.0
233,0.1875
